route_id,pais,region,provincia,comarca,zona,pueblo,nombre_ruta,categoria,dificultad,descripcion_dificultad,distancia_total,altitud_minima,altitud_maxima,desnivel_acumulado,Tiempo_total,Punto_salida_llegada,poblacion_cercana,link_archivo,pdf_path,fecha
169,España,Cataluña,Lérida,Alta Ribagorza,Valle de Boí,Boí,Montardo (2.833m) y Montardo Petit (2.781m) por Cavallers,Ascensiones alta montaña;Raquetas de nieve,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.",19 km,1.73,2.883,+435m | +650m/-1.050m,2:15h | 5:35h,Embalse de Cavallers,Caldes de Boí,https://www.rutaspirineos.org/rutas/montardo-y-petit-montardo-por-cavallers,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-montardo-y-petit-montardo-por-cavallers_es.pdf,11/11/2025
170,España,Cataluña,Barcelona,Bajo Llobregat,Sant Llorenç del Munt i l'Obac - El Cairat,Sant Llorenç Savall,El Montcau (1.056 m) desde el Marquet de les Roques,Patrimonio histórico;Rutas circulares;Ascensiones media montaña,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,8 km,544.0,1.056,+ 645 m / - 645 m,4:10 h,Parquin Marquet de les Roques,Sant Llorenç Savall,https://www.rutaspirineos.org/rutas/montcau-marquet-de-les-roques,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-montcau-marquet-de-les-roques_es.pdf,11/11/2025
171,España,Cataluña,Gerona,El Ripollés,Valle de Ribes y Nuria,Queralbs,La Olla de Núria,Ascensiones alta montaña;Rutas circulares;Crestas y corredores,Alta,Excursiones exigentes de alta montaña con desniveles y distancias importantes.,21 km,1.96,2.913,1.800m,8:35h,Entrada al santuario de Núria.,Queralbs,https://www.rutaspirineos.org/rutas/olla-de-nuria-vall-de-nuria-ripolles,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-olla-de-nuria-vall-de-nuria-ripolles_es.pdf,11/11/2025
172,España,Cataluña,Barcelona,Berguedá,Alto Llobregat,Sant Julià de Cerdanyola,La Olla de Sant Julià de Cerdanyola,Paisajes pintorescos;Rutas circulares,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"15,6 km",939.0,1.658,1.021m,5:05h,Parada de autobús,Sant Julià de Cerdanyola,https://www.rutaspirineos.org/rutas/olla-de-sant-julia-de-cerdanyola-bergueda,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-olla-de-sant-julia-de-cerdanyola-bergueda_es.pdf,11/11/2025
173,España,Cataluña,Gerona,Alto Ampurdán,Cabo de Creus,Cadaqués,Paseo por el Paraje de Tudela,"Paisajes pintorescos;Familias y niños;Lagos, ríos y cascadas",Baja,"Paseos cortos, con poco desnivel y sin dificultades.","5,6 km",5.0,66.0,150m,1:15h,Valla Paraje de Tudela,Cadaqués,https://www.rutaspirineos.org/rutas/paratge-de-tudela-cap-de-creus,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-paratge-de-tudela-cap-de-creus_es.pdf,11/11/2025
174,Francia,Aquitania,Pirineos Atlánticos,Sola (Soule-Zuberoa),Tardets-Sorholus,,La pasarela de Holzarté y las gargantas de Olhadubi,"Paisajes pintorescos;Familias y niños;Lagos, ríos y cascadas",Baja,"Paseos cortos, con poco desnivel y sin dificultades.","4,2 km",408.0,580.0,225m,1:30h,Puente de la Mouline (Logibar),Larrau,https://www.rutaspirineos.org/rutas/pasarela-de-holzarte,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-pasarela-de-holzarte_es.pdf,11/11/2025
175,España,Aragón,Huesca,Sobrarbe,Valle de Ordesa,Torla,Paseo por San Nicolás de Bujaruelo,"Familias y niños;Lagos, ríos y cascadas;Rutas circulares;Flora y fauna",Baja,"Paseos cortos, con poco desnivel y sin dificultades.","3,4 km",1.338,1.372,55m,0:50h,Refugio de Bujaruelo,Torla,https://www.rutaspirineos.org/rutas/paseo-por-bujaruelo,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-paseo-por-bujaruelo_es.pdf,11/11/2025
176,España,Cataluña,Lérida,Val d'Aran,Vielha-Mijaran,Vielha,Paseo por el Mijaran desde Vielha,Familias y niños;Patrimonio histórico;Rutas circulares,Baja,"Paseos cortos, con poco desnivel y sin dificultades.","6,8 km",928.0,1.046,160m,1:55h,Ayuntamiento de Vielha,Vielha,https://www.rutaspirineos.org/rutas/passeig-pel-mijaran-vielha,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-passeig-pel-mijaran-vielha_es.pdf,11/11/2025
177,España,Cataluña,Barcelona,Berguedá,Los valles de Saldes y Gósol,Saldes,Pedraforca (2.506m) por el collado del Verdet y la Enforcadura,Rutas circulares;Paisajes pintorescos;Ascensiones alta montaña,Alta (PD),"Rutas de alta montaña con trepadas en terreno expuesto y de cierta dificultad, aunque en general hay buenos agarres para cogerse. Posibilidad de aristas y crestas estrechas y aéreas. El uso de la cuerda puede hacerse necesario en más de una ocasión. Pendientes de 40-45°.","8,1 km",1.573,2.506,1.100m,5:00h,Mirador del Gresolet,Saldes,https://www.rutaspirineos.org/rutas/pedraforca-pollego-superior-por-el-collado-del-verdet,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-pedraforca-pollego-superior-por-el-collado-del-verdet_es.pdf,11/11/2025
178,España,Cataluña,Barcelona,Berguedá,Los valles de Saldes y Gósol,Gósol,Pedraforca (2.506m) desde Gósol,Ascensiones alta montaña;Paisajes pintorescos,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","8,4 km",1.415,2.506,1.100m,6:45h,Gósol - Hostal Cal Franciscó,Gósol,https://www.rutaspirineos.org/rutas/pedraforca-por-gosol-bergueda,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-pedraforca-por-gosol-bergueda_es.pdf,11/11/2025
179,España,Cataluña,Lérida,Solsonés,Port del Comte,La Coma y la Pedra,Pedró dels Quatre Batlles (2.386m),Rutas circulares;Ascensiones media montaña,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"10,8 km",1.933,2.386,590m,4:00h,Aparcamiento de la Estivella,La Coma y la Pedra,https://www.rutaspirineos.org/rutas/pedro-dels-quatre-batlles-port-del-comte-solsones,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-pedro-dels-quatre-batlles-port-del-comte-solsones_es.pdf,11/11/2025
180,España,Cataluña,Lérida,Alto Urgel,Urgellet,Montferrer y Castellbò,Por los bosques de Sant Joan de l'Erm,Familias y niños;Patrimonio histórico;Rutas circulares,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"9,9 km",1.489,1.936,475m,2:55h,Refugio de la Basseta,Castellbò,https://www.rutaspirineos.org/rutas/pels-boscos-de-sant-joan-de-lerm,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-pels-boscos-de-sant-joan-de-lerm_es.pdf,12/11/2025
181,España,Cataluña,Gerona,Alto Ampurdán,Cabo de Creus,Port de la Selva,Por los dominios de Sant Pere de Rodes,Paisajes pintorescos;Patrimonio histórico;Rutas circulares,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"17,6 km",50.0,558.0,920m,5:35h,Ermita de Santa Helena,Puerto de la Selva,https://www.rutaspirineos.org/rutas/pels-dominis-de-sant-pere-de-rodes,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-pels-dominis-de-sant-pere-de-rodes_es.pdf,11/11/2025
182,España,Cataluña,Gerona,Garrotxa,La comarca de Olot,Santa Pau,Por antiguos caminos de monjes en Sant Julià del Mont,Patrimonio histórico;Ascensiones media montaña;Rutas circulares,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"15,3 km",456.0,907.0,800m,4:40 h,Calle Mayor - Santa Pau,Santa Pau,https://www.rutaspirineos.org/rutas/per-antics-camins-de-monjos-a-sant-julia-del-mont,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-per-antics-camins-de-monjos-a-sant-julia-del-mont_es.pdf,11/11/2025
183,Andorra,Parroquia de la Massana,Arinsal,,,,Pico de Comapedrosa (2.942m) desde Arinsal,"Ascensiones alta montaña;Lagos, ríos y cascadas;Rutas circulares",Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","14,3 km",1.575,2.942,1.380m,6:05h,Arinsal - Prats Sobirans,Arinsal,https://www.rutaspirineos.org/rutas/pic-de-comapedrosa-arinsal-andorra,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-pic-de-comapedrosa-arinsal-andorra_es.pdf,11/11/2025
184,Andorra,Parroquia de Canillo,Ransol,,,,Lagos de Ransol y pico de la Serrera (2.913m),"Lagos, ríos y cascadas;Rutas circulares;Ascensiones alta montaña",Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","10,6 km",1.944,2.913,1.010m,4:15h,Final carretera Coma de Ransol,Ransol,https://www.rutaspirineos.org/rutas/pic-de-la-serrera-canillo-vall-de-ransol,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-pic-de-la-serrera-canillo-vall-de-ransol_es.pdf,11/11/2025
185,Andorra,Parroquia de Ordino,El Serrat,,,,Pico de la Serrera (2.913m) por el valle de Sorteny,Rutas circulares;Ascensiones alta montaña,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","12,7 km",1.783,2.913,1.135m,6:30h,La Canya de la Rabassa,El Serrat,https://www.rutaspirineos.org/rutas/pic-de-la-serrera-ordino-vall-de-sorteny,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-pic-de-la-serrera-ordino-vall-de-sorteny_es.pdf,11/11/2025
186,Francia,Mediodía-Pirineos,Ariege,Los Valles de Ax,Ax-les-Thermes,,Pico de Rulhe (2.783m) desde el Pla de las Peyres,Rutas circulares;Ascensiones alta montaña,Alta (PD),"Rutas de alta montaña con trepadas en terreno expuesto y de cierta dificultad, aunque en general hay buenos agarres para cogerse. Posibilidad de aristas y crestas estrechas y aéreas. El uso de la cuerda puede hacerse necesario en más de una ocasión. Pendientes de 40-45°.",16 km,1.7,2.783,+485m | +615m/-1.100m,1:30h | 6:50h,Pla de las Peyres,Aston,https://www.rutaspirineos.org/rutas/pic-de-rulhe-desde-el-pla-de-las-peyres,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-pic-de-rulhe-desde-el-pla-de-las-peyres_es.pdf,11/11/2025
187,Francia,Mediodía-Pirineos,Ariege,Donezan,Mijanes,,Pico de Tarbésou (2.364m) desde Mijanes,Rutas circulares;Ascensiones alta montaña;Raquetas de nieve,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.",11 km,1.537,2.364,1.225m,4:30h,Estación de esquí de Mijanes,Mijanes,https://www.rutaspirineos.org/rutas/pic-de-tarbesou-desde-mijanes,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-pic-de-tarbesou-desde-mijanes_es.pdf,11/11/2025
188,Francia,Mediodía-Pirineos,Altos Pirineos,Pays Toy,Gavarnie,,Pico de Tentes (2.322m) desde el collado de Tentes,Familias y niños;Ascensiones media montaña,Baja,"Paseos cortos, con poco desnivel y sin dificultades.","1,4 km",2.208,2.322,114m,0:30h,Collado de Tentes,Gavarnie,https://www.rutaspirineos.org/rutas/pic-des-tentes-desde-el-col-des-tentes,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-pic-des-tentes-desde-el-col-des-tentes_es.pdf,11/11/2025
189,Andorra,Parroquia de Encamp,Grau Roig,,,,Pico de Montmalús (2.781m) y circo de los Colells,"Paisajes pintorescos;Lagos, ríos y cascadas;Rutas circulares;Ascensiones alta montaña",Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","10,4 km",2.1,2.781,875m,4:00h,Parking El Cubil - Grau Roig,Soldeu,https://www.rutaspirineos.org/rutas/pic-montmalus-circ-colells-grau-roig,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-pic-montmalus-circ-colells-grau-roig_es.pdf,11/11/2025
190,Francia,Languedoc-Rosellón,Pirineos Orientales,Alta Cerdaña,Mont-Louis,,Carlit (2.921m) desde el embalse de las Bulloses,Rutas circulares;Ascensiones alta montaña,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.",15 km,2.016,2.921,950m,5:00h,Embalse de las Bulloses,Mont-Louis,https://www.rutaspirineos.org/rutas/pica-del-carlit-desde-les-bulloses,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-pica-del-carlit-desde-les-bulloses_es.pdf,11/11/2025
191,España,Cataluña,Lérida,Pallars Sobirá,Vall Ferrera,Alins,Pica d'Estats (3.143m) desde la Vall Ferrera,Ascensiones alta montaña;Cimas de 3.000m;Paisajes pintorescos,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","20,4 km",1.805,3.143,1.338m,10:15h,La Molinassa,Àreu,https://www.rutaspirineos.org/rutas/pica-estats-desde-el-refugio-de-la-vall-ferrera,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-pica-estats-desde-el-refugio-de-la-vall-ferrera_es.pdf,11/11/2025
192,España,Navarra,Navarra Montaña,Valles Pirenaicos (Navarra),Valle de Roncal y Belagua,Isaba,Pico Arlas (2.044m) desde el collado de la Piedra de San Martín,Paisajes pintorescos;Ascensiones media montaña,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"3,9 km",1.76,2.044,325m,1:30h,Collado Piedra de San Martín,Isaba,https://www.rutaspirineos.org/rutas/pico-arlas-larra,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-pico-arlas-larra_es.pdf,11/11/2025
193,España,Cataluña,Lérida,Pallars Sobirá,Las Valls d'Àneu,Espot,Pico de Amitges (2.848m) y Tuc de Saboredo (2.829m),"Ascensiones alta montaña;Paisajes pintorescos;Lagos, ríos y cascadas",Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.",21 km,1.634,2.848,1.500m,11:00h,Aparcamiento de Prat Pierró,Espot,https://www.rutaspirineos.org/rutas/pico-de-amitges-y-tuc-de-saboredo-por-sant-maurici,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-pico-de-amitges-y-tuc-de-saboredo-por-sant-maurici_es.pdf,12/11/2025
194,Andorra,Parroquia de Ordino,El Serrat,,,,Pico de Cataperdís (2.806m) y pico de Arcalís (2.776m),Rutas circulares;Ascensiones alta montaña;Crestas y corredores,Alta (PD),"Rutas de alta montaña con trepadas en terreno expuesto y de cierta dificultad, aunque en general hay buenos agarres para cogerse. Posibilidad de aristas y crestas estrechas y aéreas. El uso de la cuerda puede hacerse necesario en más de una ocasión. Pendientes de 40-45°.",5 km,2.36,2.806,580m,3:40h,Túnel del Port de Rat (Arcalís),El Serrat,https://www.rutaspirineos.org/rutas/pico-de-cataperdis-y-pico-de-arcalis,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-pico-de-cataperdis-y-pico-de-arcalis_es.pdf,11/11/2025
195,España,Cataluña,Lérida,Pallars Sobirá,Valle de Cardós,Tavascan-Lladorre,Pico de la Coma del Forn (2.685m) desde la Pleta del Prat,Ascensiones alta montaña;Raquetas de nieve,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","6,8 km",1.72,2.685,965m,5:35h,Refugio Pleta del Prat,Tavascan,https://www.rutaspirineos.org/rutas/pico-de-la-coma-del-forn-desde-la-pleta-del-prat-tavascan,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-pico-de-la-coma-del-forn-desde-la-pleta-del-prat-tavascan_es.pdf,11/11/2025
196,Francia,Languedoc-Rosellón,Pirineos Orientales,Alta Cerdaña,Porté-Puymorens,,Pico de la Mina (2.683m) desde el collado de Puymorens,Ascensiones alta montaña;Raquetas de nieve,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","10,5 km",1.915,2.683,768m,3:45h,Collado de Puymorens,Porté-Puymorens,https://www.rutaspirineos.org/rutas/pico-de-la-mina-desde-el-collado-de-puymorens,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-pico-de-la-mina-desde-el-collado-de-puymorens_es.pdf,11/11/2025
197,Francia,Mediodía-Pirineos,Ariege,Los Valles de Ax,Ax-les-Thermes,,Pico de Nérassol (2.633m) por el valle de Siscar,Rutas circulares;Ascensiones alta montaña;Raquetas de nieve,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.",16 km,1.448,2.633,1.250m,6:10h,L'Hospitalet-près-l'Andorre,L'Hospitalet-près-l'Andorre,https://www.rutaspirineos.org/rutas/pico-de-nerassol-por-el-valle-de-siscar,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-pico-de-nerassol-por-el-valle-de-siscar_es.pdf,11/11/2025
198,Francia,Languedoc-Rosellón,Pirineos Orientales,Alta Cerdaña,Porté-Puymorens,,Pico de Pedrons (2.715m) desde la frontera Andorra-Francia,Ascensiones alta montaña;Raquetas de nieve,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.",8 km,1.896,2.715,825m,3:45h,Curva aduana Andorra-Francia,Porté-Puymorens,https://www.rutaspirineos.org/rutas/pico-de-pedrons-desde-la-frontera-andorra-francia,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-pico-de-pedrons-desde-la-frontera-andorra-francia_es.pdf,11/11/2025
199,España,Cataluña,Lérida,Pallars Sobirá,Las Valls d'Àneu,Espot,Pico de Peguera (2.983m) y pico de Monestero (2.877m),Rutas circulares;Ascensiones alta montaña,Alta (F+),"Rutas de alta montaña con trepadas fáciles y con buenos agarres, por lo que es necesario usar las manos para progresar.",23 km,1.645,2.983,+723m/-50m | +822m/-1.495m,2:50h | 6:30h,Aparcamiento de Prat de Pierró,Espot,https://www.rutaspirineos.org/rutas/pico-de-peguera-y-pico-de-monestero,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-pico-de-peguera-y-pico-de-monestero_es.pdf,11/11/2025
200,España,Aragón,Huesca,La Ribagorza,Valle de Barrabés (Huesca),Aneto,Vallibierna (3.067m) y Culebras (3.062m) por Llauset,Rutas circulares;Crestas y corredores;Cimas de 3.000m;Ascensiones alta montaña,Alta (F+),"Rutas de alta montaña con trepadas fáciles y con buenos agarres, por lo que es necesario usar las manos para progresar.",12 km,2.2,3.067,900m,5:35h,Embalse de Llauset,Aneto y Senet de Barrabés,https://www.rutaspirineos.org/rutas/pico-de-vallibierna-y-tuca-de-culebras-desde-llauset,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-pico-de-vallibierna-y-tuca-de-culebras-desde-llauset_es.pdf,11/11/2025
201,España,Aragón,Huesca,La Ribagorza,Valle de Benasque,Benasque,Maladeta Oriental (3.308m) y pico Abadías (3.271m) por la Renclusa,Ascensiones alta montaña;Crestas y corredores;Cimas de 3.000m,Alta (PD),"Rutas de alta montaña con trepadas en terreno expuesto y de cierta dificultad, aunque en general hay buenos agarres para cogerse. Posibilidad de aristas y crestas estrechas y aéreas. El uso de la cuerda puede hacerse necesario en más de una ocasión. Pendientes de 40-45°.","12,5 km",1.92,3.308,+960m | +625m/-1.550m,2:40h | 5:45h,La Besurta,Benasque,https://www.rutaspirineos.org/rutas/pico-maladeta-oriental-y-pico-abadias,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-pico-maladeta-oriental-y-pico-abadias_es.pdf,11/11/2025
202,España,Navarra,Navarra Montaña,Valles Pirenaicos (Navarra),"Irati, Aezkoa y Salazar",Ochagavía,Pico Ori (2.017m) desde el puerto de Larrau,Ascensiones media montaña,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"4,4 km",1.573,2.017,450m,2:15h,Puerto de Larrau,Ochagavía,https://www.rutaspirineos.org/rutas/pico-ori-desde-el-puerto-de-larrau,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-pico-ori-desde-el-puerto-de-larrau_es.pdf,11/11/2025
203,Andorra,Parroquia de Ordino,Ordino,,,,Picos de Casamanya desde el collado de Ordino,Ascensiones alta montaña;Flora y fauna,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"8,7 km",1.974,2.749,890m,3:10h,Collado de Ordino,Ordino,https://www.rutaspirineos.org/rutas/pics-de-casamanya-ordino-andorra,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-pics-de-casamanya-ordino-andorra_es.pdf,11/11/2025
204,España,Cataluña,Barcelona,Osona,Collsacabra,L´Esquirol - Cantonigròs,Circular por los riscos y el llano de Aiats,Familias y niños;Rutas circulares,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"8,3 km",906.0,1.289,+460 m / -460 m,3:45 h,C-153 / Camino Ral Vic - Olot,Cantonigròs,https://www.rutaspirineos.org/rutas/pla-aiats-cantonigros,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-pla-aiats-cantonigros_es.pdf,11/11/2025
205,España,Cataluña,Lérida,Solsonés,Meseta del Solsonés,Solsona,El puente de la Frau y el Castellvell de Solsona,Familias y niños;Patrimonio histórico;Rutas circulares,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,15 km,653.0,839.0,215m,4:00h,Camping El Solsonès,Solsona,https://www.rutaspirineos.org/rutas/pont-de-afrau-castellvell-solsona,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-pont-de-afrau-castellvell-solsona_es.pdf,11/11/2025
